	split0_test_rmse	split1_test_rmse	split2_test_rmse	split3_test_rmse	split4_test_rmse	mean_test_rmse	std_test_rmse	rank_test_rmse	split0_test_mae	split1_test_mae	split2_test_mae	split3_test_mae	split4_test_mae	mean_test_mae	std_test_mae	rank_test_mae	mean_fit_time	std_fit_time	mean_test_time	std_test_time	params	param_n_factors	param_n_epochs	param_lr_all	param_reg_all
0	1.0045396776095197	1.001301116796717	1.0034797428290592	1.0040430957795365	1.0020498470580916	1.0030826960145849	0.0012201320195659301	2	0.8136166241839878	0.8105579969548944	0.8126190723917768	0.8118965882403532	0.8107107844222244	0.8118802132386473	0.001155605782059264	2	89.20343089103699	2.8614950590274635	11.993444633483886	1.1407890922341077	{'n_factors': 1, 'n_epochs': 40, 'lr_all': 0.01, 'reg_all': 0.01}	1	40	0.01	0.01
1	1.0144001010117476	1.0143155959172618	1.016375487820047	1.0159407765250963	1.0126504993342647	1.0147364921216835	0.0013250121755260548	6	0.8337254127064782	0.8336218001983513	0.8356071798429936	0.8345516078986157	0.8315881870588093	0.8338188375410496	0.001323516080287731	6	82.90932621955872	0.4312957265640914	10.896704053878784	0.8709184206480874	{'n_factors': 1, 'n_epochs': 40, 'lr_all': 0.01, 'reg_all': 0.2}	1	40	0.01	0.2
2	1.0609936207666564	1.0600167353000196	1.0627425387500513	1.0618785216575	1.057281243598923	1.06058253201463	0.0018832335670054177	12	0.8624053043071924	0.8600714118530457	0.8628835295043331	0.8617098539176092	0.8577735076055832	0.8609687214375527	0.00185978996391536	10	82.25745368003845	0.38308649999860594	11.214968395233154	0.9512758940614908	{'n_factors': 1, 'n_epochs': 40, 'lr_all': 0.09, 'reg_all': 0.01}	1	40	0.09	0.01
3	1.056470269918287	1.0571763305951545	1.0611365731792735	1.0588943887117328	1.0557709955825454	1.0578897115973986	0.00192687160559696	8	0.8674827510505166	0.8683392200227481	0.8711852873699173	0.8693963673609458	0.8665859532084224	0.86859791580251	0.0015931431780953772	12	82.498082447052	0.8251892568683336	10.875784492492675	0.9589252329416237	{'n_factors': 1, 'n_epochs': 40, 'lr_all': 0.09, 'reg_all': 0.2}	1	40	0.09	0.2
4	1.0032073323764341	0.9996747377979045	1.0025028629448534	1.002281182201539	1.0021078225214197	1.00195478756843	0.0011998195884158533	1	0.8132022939878114	0.8061358522645723	0.8086482334222889	0.8068255221202318	0.8108943112616799	0.8091412426113169	0.0026154685455962333	1	123.36434836387635	0.692384745470579	10.170261812210082	0.8338411355017475	{'n_factors': 1, 'n_epochs': 60, 'lr_all': 0.01, 'reg_all': 0.01}	1	60	0.01	0.01
5	1.0143982531597417	1.014313193198945	1.016373689633597	1.0159414841542185	1.0126482375961539	1.0147349715485312	0.0013256548923107584	4	0.8337216023510332	0.8336180279280261	0.8356048818914323	0.8345498105872824	0.8315849061763133	0.8338158457868173	0.0013239682615605814	4	123.37441759109497	0.18013312032630252	10.262893295288086	0.643943388574973	{'n_factors': 1, 'n_epochs': 60, 'lr_all': 0.01, 'reg_all': 0.2}	1	60	0.01	0.2
6	1.06101862271243	1.05999041966097	1.0627290468008213	1.0617743034223555	1.057316930209573	1.0605658645612297	0.0018564149902891363	11	0.8624273703523283	0.8600441929544773	0.8628505573294281	0.8616389092898358	0.8577976123877161	0.8609517284627571	0.0018453919070964444	9	123.44598913192749	0.4109072802879624	10.325248908996581	0.6265500620418797	{'n_factors': 1, 'n_epochs': 60, 'lr_all': 0.09, 'reg_all': 0.01}	1	60	0.09	0.01
7	1.0564702699972712	1.0571763302810055	1.0611372776952155	1.0588943886355835	1.055770995570901	1.0578898524359954	0.0019271090457603556	10	0.8674827510321483	0.8683392196794307	0.8711864210146338	0.8693963672517458	0.8665859531634894	0.8685981424282897	0.0015935114372447796	14	123.34988164901733	0.27112351050486533	9.907555103302002	0.4754420847031903	{'n_factors': 1, 'n_epochs': 60, 'lr_all': 0.09, 'reg_all': 0.2}	1	60	0.09	0.2
8	1.0785629592191717	1.0777637554172022	1.0773248894048026	1.0807054485169496	1.0776291511150262	1.0783972407346305	0.0012244581224526896	13	0.8439168449209566	0.84312484302475	0.8444399401031049	0.8445888859163213	0.8419934189799935	0.8436127865890253	0.0009581069540419706	7	122.1158540725708	0.26129815536659384	9.928743076324462	0.5697141054523912	{'n_factors': 20, 'n_epochs': 40, 'lr_all': 0.01, 'reg_all': 0.01}	20	40	0.01	0.01
9	1.0143999035880171	1.0143148108063695	1.0163748086325004	1.015940481944125	1.0126499626741736	1.0147359935290372	0.0013250194977577558	5	0.8337253346606551	0.8336211297804064	0.8356065673238198	0.8345513740334914	0.8315876420904915	0.8338184095777729	0.0013235294374551218	5	122.62121782302856	0.44269270361350993	10.170156383514405	0.31957323746206273	{'n_factors': 20, 'n_epochs': 40, 'lr_all': 0.01, 'reg_all': 0.2}	20	40	0.01	0.2
10	1.1808106145710733	1.184409441026865	1.1884580609205022	1.1811205895024646	1.181645223331334	1.1832887858704477	0.002881700151711742	15	0.933049458384484	0.937400833946269	0.9414314409335947	0.9330969353631372	0.9348412416925841	0.9359639820640137	0.003160145592446143	15	123.32617511749268	0.28483005653089494	11.086629486083984	0.5884305315209152	{'n_factors': 20, 'n_epochs': 40, 'lr_all': 0.09, 'reg_all': 0.01}	20	40	0.09	0.01
